polholder_age,polholder_BMCevol,polholder_diffdriver,polholder_gender,polholder_job,policy_age,policy_caruse,policy_nbcontract,prem_final,prem_freqperyear,prem_last,prem_market,prem_pure,vehicl_age,vehicl_agepurchase,vehicl_garage,vehicl_powerkw,vehicl_region,lapse
29,stable,same,Male,normal,0,private or freelance work,1,1485.07,4 per year,1485.09,1218.71,1618.52,17,17,parking deck,125-300 kW,Reg6,0
29,stable,all drivers > 24,Male,medical,0,private or freelance work,1,259.1,1 per year,259.11,276.84,259.11,8,1,parking deck,100 kW,Reg5,0
33,down,same,Male,medical,1,private or freelance work,1,399.2,2 per year,407.35,410.6,395.65,9,8,underground garage,75 kW,Reg8,0
40,down,only partner,Male,normal,1,private or freelance work,2,455.16,4 per year,464.45,365.88,406.31,16,15,parking deck,75 kW,Reg12,0
36,stable,same,Male,normal,2,private or freelance work,1,222.46,1 per year,222.47,212.86,228.74,14,4,parking deck,75 kW,Reg6,1
43,stable,only partner,Male,normal,4,private or freelance work,1,230.83,1 per year,230.84,213.9,250.74,11,4,unknown,75 kW,Reg7,0
43,stable,young drivers,Male,normal,0,private or freelance work,2,269.01,2 per year,269.03,350.5,269.03,12,3,private garage,75 kW,Reg4,0
32,down,same,Female,normal,0,private or freelance work,2,330.47,12 per year,337.21,355.3,332.74,7,0,private garage,25-50 kW,Reg9,0
28,stable,same,Male,normal,0,private or freelance work,1,333.14,1 per year,333.14,348.4,333.14,15,15,private garage,25-50 kW,Reg7,0
56,stable,same,Male,medical,1,private or freelance work,1,198.65,1 per year,198.65,230.97,198.65,11,3,private garage,150 kW,Reg10,0
40,stable,only partner,Male,medical,8,unknown,1,332.5,1 per year,332.5,252.45,332.5,11,2,private garage,100 kW,Reg8,0
29,down,only partner,Female,medical,0,private or freelance work,1,208.45,1 per year,212.7,227.33,191.42,16,14,private garage,25-50 kW,Reg4,0
46,stable,young drivers,Male,medical,11,private or freelance work,1,396.16,1 per year,396.18,331.61,350.54,11,0,private garage,100 kW,Reg7,0
38,up,same,Male,normal,1,private or freelance work,1,614.76,4 per year,483.03,647.67,597.44,14,9,other,100 kW,Reg9,0
34,down,only partner,Male,normal,0,private or freelance work,1,300.73,4 per year,306.86,251.12,278.96,3,3,street,75 kW,Reg3,0
40,down,young drivers,Female,medical,0,private or freelance work,1,569.92,4 per year,581.55,490.94,579.56,11,8,parking deck,75 kW,Reg12,0
39,down,only partner,Female,normal,0,private or freelance work,1,584.1,4 per year,678.5,585.54,531.0,18,18,parking deck,25-50 kW,Reg5,0
42,stable,only partner,Male,normal,0,private or freelance work,1,119.66,1 per year,119.67,143.56,119.67,9,0,private garage,75 kW,Reg7,0
36,stable,only partner,Female,medical,2,private or freelance work,3,454.87,12 per year,454.89,432.05,481.41,10,7,parking deck,75 kW,Reg4,0
34,stable,same,Female,medical,8,unknown,1,282.26,12 per year,282.28,231.71,298.12,11,3,street,100 kW,Reg7,0
56,down,same,Male,normal,2,private or freelance work,1,326.6,1 per year,333.26,259.61,320.25,13,6,street,75 kW,Reg3,0
34,down,same,Female,normal,0,private or freelance work,2,548.41,12 per year,572.25,611.7,454.85,17,14,underground garage,75 kW,Reg7,0
40,stable,only partner,Female,normal,1,private or freelance work,1,171.59,1 per year,171.6,167.27,171.6,15,9,other,25-50 kW,Reg3,0
33,stable,only partner,Male,normal,1,private or freelance work,3,234.93,1 per year,234.94,293.23,234.94,12,5,private garage,125-300 kW,Reg7,0
31,stable,all drivers > 24,Male,normal,2,private or freelance work,1,375.3,4 per year,375.31,357.22,375.31,17,13,street,75 kW,Reg3,1
38,stable,only partner,Female,medical,2,private or freelance work,2,289.05,1 per year,289.06,241.69,297.1,18,11,street,25-50 kW,Reg7,0
71,down,only partner,Male,normal,6,private or freelance work,1,459.12,2 per year,468.49,424.23,401.56,5,0,street,75 kW,Reg1,0
51,stable,only partner,Female,medical,0,private or freelance work,1,138.67,1 per year,138.69,216.76,138.69,15,6,private garage,150 kW,Reg4,0
35,stable,same,Female,medical,0,private or freelance work,1,207.19,4 per year,207.2,239.16,207.2,8,2,private garage,25-50 kW,Reg7,0
37,down,same,Male,normal,1,private or freelance work,1,300.87,1 per year,307.01,321.69,268.91,10,8,private garage,100 kW,Reg8,1
33,stable,only partner,Male,normal,0,private or freelance work,1,173.06,12 per year,173.08,210.03,165.36,6,0,carport,25-50 kW,Reg8,0
43,stable,only partner,Female,normal,1,private or freelance work,1,197.91,1 per year,197.92,225.3,203.45,17,2,private garage,75 kW,Reg8,0
39,down,only partner,Female,normal,1,private or freelance work,1,396.47,2 per year,404.56,408.88,370.85,17,13,street,75 kW,Reg14,1
42,stable,same,Male,normal,1,private or freelance work,1,179.69,1 per year,179.7,174.05,174.83,17,2,private garage,75 kW,Reg12,0
35,down,same,Female,normal,0,private or freelance work,1,641.4,12 per year,745.06,631.86,634.72,18,17,parking deck,25-50 kW,Reg4,0
42,down,same,Male,normal,3,private or freelance work,2,537.81,4 per year,548.79,409.62,493.9,17,14,street,75 kW,Reg4,1
41,down,same,Male,normal,1,private or freelance work,1,389.5,1 per year,397.45,346.29,364.34,3,0,parking deck,125-300 kW,Reg7,1
42,down,only partner,Male,medical,0,private or freelance work,1,447.27,4 per year,466.71,473.47,411.25,14,14,private garage,25-50 kW,Reg3,0
45,stable,young drivers,Male,medical,0,private or freelance work,1,1234.38,4 per year,1234.39,1285.09,1234.39,15,15,parking deck,75 kW,Reg4,0
33,stable,same,Male,normal,0,private or freelance work,1,324.14,4 per year,324.15,335.83,324.15,14,14,street,75 kW,Reg12,0
26,down,same,Male,normal,0,private or freelance work,1,762.16,2 per year,885.34,886.73,692.87,13,12,parking deck,150 kW,Reg4,0
42,stable,only partner,Male,medical,2,private or freelance work,1,452.45,2 per year,452.46,411.49,423.39,2,0,private garage,125-300 kW,Reg7,0
29,down,same,Male,normal,1,private or freelance work,1,743.49,12 per year,775.81,616.24,646.51,10,6,private garage,100 kW,Reg13,0
43,down,only partner,Male,normal,2,private or freelance work,1,289.11,4 per year,295.01,257.29,258.14,18,10,street,75 kW,Reg4,1
46,down,young drivers,Male,medical,1,private or freelance work,2,915.94,4 per year,1063.97,715.02,832.68,15,14,other,25-50 kW,Reg8,0
40,stable,same,Female,medical,0,private or freelance work,1,168.59,1 per year,168.6,230.86,148.34,18,13,other,75 kW,Reg6,0
32,down,same,Male,normal,2,private or freelance work,1,635.91,4 per year,648.89,592.5,605.64,10,8,parking deck,75 kW,Reg5,0
57,stable,all drivers > 24,Male,medical,0,private or freelance work,1,319.65,4 per year,319.66,378.25,325.85,16,14,underground garage,100 kW,Reg4,0
32,stable,same,Male,normal,0,private or freelance work,1,284.6,2 per year,284.61,331.99,284.61,16,8,private garage,25-50 kW,Reg8,0
27,down,same,Female,medical,0,private or freelance work,1,303.54,12 per year,309.74,357.4,289.09,14,10,carport,75 kW,Reg14,0
85,stable,only partner,Male,normal,9,unknown,1,256.21,1 per year,256.22,288.7,231.18,12,3,private garage,150 kW,Reg7,0
47,stable,only partner,Male,normal,9,private or freelance work,1,204.72,12 per year,204.74,181.35,187.04,13,3,private garage,75 kW,Reg8,0
45,stable,only partner,Male,normal,5,unknown,1,240.09,1 per year,240.1,212.3,242.2,18,7,unknown,25-50 kW,Reg4,0
51,stable,same,Male,normal,3,private or freelance work,1,252.76,1 per year,245.71,242.27,252.76,18,16,carport,100 kW,Reg3,0
77,stable,same,Female,normal,10,private or freelance work,1,218.7,1 per year,218.7,222.9,218.7,14,4,private garage,75 kW,Reg5,0
45,stable,same,Female,medical,2,private or freelance work,2,356.19,4 per year,356.2,508.11,356.2,15,8,street,100 kW,Reg8,1
36,stable,only partner,Male,normal,1,private or freelance work,1,220.85,12 per year,220.86,268.05,235.85,12,10,private garage,75 kW,Reg3,0
32,stable,only partner,Male,normal,2,private or freelance work,1,435.74,4 per year,415.0,332.05,443.3,11,6,street,75 kW,Reg4,0
31,down,all drivers > 24,Male,normal,0,private or freelance work,1,733.72,4 per year,852.3,627.52,636.12,18,18,private garage,100 kW,Reg5,0
44,down,young drivers,Female,medical,2,private or freelance work,2,361.94,2 per year,369.32,309.15,332.39,15,7,private garage,25-50 kW,Reg5,0
46,stable,only partner,Female,medical,5,private or freelance work,1,144.77,1 per year,144.79,156.43,144.79,18,8,street,25-50 kW,Reg8,0
51,stable,young drivers,Female,normal,0,private or freelance work,1,278.1,1 per year,278.11,478.2,300.03,15,0,private garage,75 kW,Reg8,0
70,stable,only partner,Female,normal,9,unknown,1,288.51,1 per year,288.53,214.7,275.7,17,8,private garage,25-50 kW,Reg7,0
43,stable,same,Male,normal,1,private or freelance work,1,280.9,1 per year,280.91,338.11,273.21,18,11,private garage,100 kW,Reg5,0
57,stable,all drivers > 24,Male,normal,0,private or freelance work,1,223.46,1 per year,223.47,245.05,215.29,11,10,private garage,25-50 kW,Reg4,0
26,down,same,Male,normal,0,private or freelance work,1,711.56,2 per year,826.56,599.65,646.84,11,11,other,75 kW,Reg11,0
26,stable,only partner,Female,normal,0,private or freelance work,2,389.49,12 per year,389.5,439.39,404.49,17,17,private garage,100 kW,Reg3,0
40,down,only partner,Male,medical,2,private or freelance work,1,412.4,12 per year,420.81,364.15,393.39,14,8,street,100 kW,Reg9,0
50,stable,only partner,Male,normal,1,private or freelance work,3,490.21,4 per year,490.22,463.85,490.22,18,13,private garage,100 kW,Reg5,0
48,down,only partner,Female,normal,6,unknown,2,436.57,4 per year,445.48,350.04,395.97,11,4,private garage,125-300 kW,Reg6,0
43,stable,same,Male,medical,10,unknown,3,400.83,1 per year,397.15,250.23,400.83,18,11,private garage,125-300 kW,Reg5,0
51,stable,same,Female,medical,2,private or freelance work,1,268.05,1 per year,268.05,262.67,268.05,16,4,private garage,125-300 kW,Reg7,0
33,stable,same,Male,normal,2,private or freelance work,1,343.61,4 per year,343.61,336.51,343.61,13,8,parking deck,75 kW,Reg3,0
41,down,same,Female,normal,1,private or freelance work,1,374.84,1 per year,382.49,373.44,361.09,14,6,street,75 kW,Reg9,1
36,stable,young drivers,Female,normal,2,private or freelance work,2,480.64,2 per year,480.65,342.12,458.46,18,14,private garage,25-50 kW,Reg8,0
37,stable,only partner,Female,medical,6,unknown,1,445.15,1 per year,445.16,376.0,425.29,11,5,private garage,75 kW,Reg2,0
46,stable,same,Male,medical,2,private or freelance work,1,237.76,1 per year,237.78,299.35,237.78,15,7,private garage,75 kW,Reg5,0
38,down,only partner,Male,medical,3,private or freelance work,2,358.06,2 per year,365.36,230.25,311.55,17,14,private garage,75 kW,Reg7,0
37,stable,only partner,Female,medical,3,private or freelance work,1,180.03,12 per year,180.04,238.05,188.55,9,3,private garage,75 kW,Reg4,0
24,down,same,Male,normal,1,private or freelance work,1,1174.67,4 per year,1225.74,782.49,982.68,15,13,other,75 kW,Reg12,1
44,stable,only partner,Male,normal,1,private or freelance work,1,316.31,4 per year,316.32,327.89,307.45,14,0,street,100 kW,Reg10,0
41,stable,young drivers,Female,medical,0,private or freelance work,3,290.51,1 per year,290.52,323.51,290.52,8,0,carport,100 kW,Reg1,1
35,down,only partner,Male,medical,5,private or freelance work,2,353.6,1 per year,360.81,274.45,349.78,5,0,unknown,75 kW,Reg8,0
39,stable,same,Male,normal,0,private or freelance work,1,210.6,2 per year,210.61,165.35,210.61,3,0,private garage,25-50 kW,Reg7,0
41,down,same,Female,medical,0,private or freelance work,1,567.99,4 per year,659.79,620.77,516.35,11,11,street,25-50 kW,Reg2,0
45,stable,same,Male,medical,0,private or freelance work,4,111.11,1 per year,111.13,123.66,111.13,18,17,other,25-50 kW,Reg7,0
42,stable,only partner,Male,medical,3,private or freelance work,1,245.36,1 per year,245.36,235.17,245.36,13,4,unknown,75 kW,Reg4,0
28,stable,same,Female,medical,0,private or freelance work,1,818.71,1 per year,818.72,976.81,866.56,10,10,parking deck,75 kW,Reg1,0
47,stable,same,Male,normal,0,private or freelance work,1,308.69,4 per year,308.7,430.3,323.75,17,12,private garage,125-300 kW,Reg4,0
65,down,same,Male,normal,0,private or freelance work,1,388.97,1 per year,396.91,432.44,363.84,6,6,private garage,150 kW,Reg7,0
32,down,same,Male,normal,0,private or freelance work,1,454.25,4 per year,463.53,490.15,432.63,8,6,private garage,75 kW,Reg4,0
34,down,same,Female,medical,2,private or freelance work,1,399.62,2 per year,407.78,401.18,387.69,6,0,street,75 kW,Reg7,0
40,down,all drivers > 24,Female,normal,2,private or freelance work,1,934.35,4 per year,1308.99,915.41,828.14,16,14,other,100 kW,Reg4,0
70,stable,same,Male,normal,0,private or freelance work,1,193.18,4 per year,193.19,284.89,193.19,15,4,street,100 kW,Reg2,0
41,down,only partner,Male,medical,1,private or freelance work,1,186.96,4 per year,190.77,201.65,170.03,14,2,other,75 kW,Reg10,0
72,stable,same,Male,normal,10,unknown,1,205.4,1 per year,205.41,221.0,213.14,17,4,private garage,75 kW,Reg4,0
43,stable,only partner,Male,medical,2,private or freelance work,1,281.64,12 per year,281.65,291.64,251.59,17,9,private garage,175 kW,Reg4,0
26,stable,young drivers,Male,normal,0,private or freelance work,1,1089.4,4 per year,1089.41,1329.66,999.52,14,14,parking deck,75 kW,Reg12,0
32,stable,same,Male,medical,1,private or freelance work,1,266.69,4 per year,266.7,307.38,254.34,12,11,other,25-50 kW,Reg7,0
32,down,same,Male,normal,2,private or freelance work,1,643.33,1 per year,656.46,504.21,601.29,10,8,private garage,150 kW,Reg8,1
36,down,only partner,Male,normal,0,private or freelance work,1,340.18,4 per year,347.13,406.7,318.2,11,7,private garage,125-300 kW,Reg5,0
34,down,all drivers > 24,Female,medical,1,private or freelance work,1,392.64,4 per year,400.65,409.64,367.29,15,15,private garage,75 kW,Reg6,0
35,down,same,Female,normal,0,private or freelance work,1,672.34,2 per year,781.0,603.25,572.05,18,18,parking deck,25-50 kW,Reg12,0
30,down,same,Female,medical,0,private or freelance work,1,211.12,4 per year,215.42,251.19,195.85,18,17,private garage,75 kW,Reg11,0
82,stable,same,Male,normal,7,unknown,1,102.8,1 per year,102.81,80.41,101.09,12,4,private garage,25-50 kW,Reg11,0
42,stable,same,Male,medical,2,private or freelance work,2,240.64,12 per year,240.65,235.65,231.74,12,4,private garage,150 kW,Reg8,0
35,up,only partner,Female,medical,1,private or freelance work,1,469.84,4 per year,375.88,627.59,469.84,13,8,private garage,75 kW,Reg3,0
31,stable,only partner,Female,medical,3,private or freelance work,2,261.42,4 per year,261.44,316.15,279.05,14,11,street,25-50 kW,Reg12,0
51,down,same,Male,medical,11,unknown,1,400.92,1 per year,409.1,296.75,363.65,12,0,private garage,100 kW,Reg8,0
35,stable,only partner,Male,medical,2,private or freelance work,1,222.64,1 per year,222.65,246.06,222.65,15,6,other,75 kW,Reg8,0
42,stable,all drivers > 24,Female,medical,8,private or freelance work,1,303.35,1 per year,303.36,288.25,303.36,4,4,street,25-50 kW,Reg5,0
30,stable,only partner,Female,normal,0,private or freelance work,2,377.84,4 per year,377.85,415.31,350.37,13,11,other,75 kW,Reg12,0
34,down,only partner,Male,normal,0,private or freelance work,2,362.62,4 per year,370.02,428.52,345.35,16,15,private garage,75 kW,Reg4,1
29,down,same,Male,normal,0,private or freelance work,2,403.03,4 per year,411.25,376.95,383.84,9,9,private garage,75 kW,Reg11,0
69,stable,same,Male,normal,6,unknown,1,416.85,1 per year,416.86,304.5,420.57,18,9,street,75 kW,Reg1,0
35,stable,same,Female,normal,1,private or freelance work,1,357.0,2 per year,357.01,391.76,357.01,10,5,street,100 kW,Reg14,1
43,stable,only partner,Female,medical,2,private or freelance work,1,328.51,2 per year,328.53,297.3,328.53,17,11,private garage,25-50 kW,Reg14,0
52,stable,young drivers,Female,medical,0,private or freelance work,2,232.61,2 per year,232.63,234.93,243.85,4,0,private garage,75 kW,Reg3,0
30,down,young drivers,Male,normal,0,private or freelance work,1,383.25,4 per year,391.07,406.66,354.55,16,16,private garage,25-50 kW,Reg12,0
48,stable,only partner,Female,medical,4,private or freelance work,1,404.35,1 per year,392.96,396.53,404.35,13,10,private garage,100 kW,Reg4,0
45,stable,only partner,Female,normal,6,unknown,1,357.27,1 per year,357.29,303.3,360.66,18,16,street,25-50 kW,Reg5,0
67,stable,only partner,Female,normal,9,unknown,1,255.94,1 per year,244.84,232.15,255.94,16,4,private garage,100 kW,Reg7,0
41,stable,same,Male,normal,0,private or freelance work,1,325.2,12 per year,325.21,297.77,310.13,11,8,private garage,75 kW,Reg12,1
39,stable,only partner,Male,normal,1,private or freelance work,1,210.49,2 per year,210.5,242.03,204.71,15,9,private garage,100 kW,Reg8,0
37,stable,same,Male,normal,9,unknown,1,365.35,1 per year,365.36,201.1,343.21,18,8,private garage,25-50 kW,Reg5,0
42,stable,young drivers,Female,medical,0,private or freelance work,1,797.55,12 per year,797.56,1379.96,782.64,16,16,private garage,25-50 kW,Reg4,0
23,down,same,Male,normal,0,private or freelance work,1,604.9,4 per year,617.25,542.48,576.1,13,12,private garage,25-50 kW,Reg4,0
37,down,only partner,Female,normal,7,unknown,1,459.11,12 per year,468.47,263.51,433.35,12,4,carport,25-50 kW,Reg4,0
35,down,same,Male,normal,1,private or freelance work,1,539.0,1 per year,626.11,600.62,558.61,12,11,other,75 kW,Reg14,0
44,stable,same,Male,medical,0,private or freelance work,1,212.25,4 per year,212.26,264.32,212.26,18,13,street,100 kW,Reg8,0
49,down,learner 17,Male,medical,3,private or freelance work,2,624.93,1 per year,637.69,393.44,584.55,15,12,parking deck,25-50 kW,Reg8,0
39,stable,only partner,Female,normal,0,private or freelance work,1,247.2,1 per year,247.21,330.39,264.16,14,11,private garage,75 kW,Reg4,0
37,stable,only partner,Male,normal,0,private or freelance work,1,175.91,1 per year,175.93,249.51,193.19,10,2,other,125-300 kW,Reg14,0
34,down,same,Male,normal,5,private or freelance work,1,433.12,1 per year,441.96,360.26,413.1,17,7,unknown,75 kW,Reg11,1
44,stable,same,Male,medical,0,private or freelance work,1,380.92,2 per year,380.94,429.31,380.92,13,12,parking deck,75 kW,Reg7,0
36,down,only partner,Male,medical,1,private or freelance work,1,270.8,2 per year,276.32,283.95,245.62,9,1,underground garage,150 kW,Reg4,1
60,stable,same,Male,medical,10,unknown,1,278.08,1 per year,278.08,229.53,278.08,12,0,street,75 kW,Reg13,1
47,stable,same,Female,normal,0,private or freelance work,1,317.35,4 per year,317.36,302.99,317.36,17,17,carport,75 kW,Reg3,0
67,down,same,Male,normal,6,unknown,2,482.53,4 per year,492.37,344.36,412.0,13,7,street,75 kW,Reg7,0
40,stable,same,Female,normal,2,private or freelance work,1,196.39,1 per year,196.4,183.92,203.75,16,8,private garage,25-50 kW,Reg8,0
36,stable,same,Male,normal,0,private or freelance work,1,247.28,1 per year,247.29,367.79,247.29,15,1,private garage,100 kW,Reg8,1
56,stable,young drivers,Male,normal,0,private or freelance work,1,207.7,1 per year,207.71,358.44,207.71,13,7,street,25-50 kW,Reg12,0
41,stable,same,Female,medical,6,unknown,1,407.86,2 per year,407.87,338.26,379.12,15,9,street,75 kW,Reg3,0
59,stable,only partner,Male,normal,2,private or freelance work,1,223.62,1 per year,223.62,243.9,223.62,16,0,private garage,75 kW,Reg4,0
36,stable,only partner,Female,normal,0,private or freelance work,1,195.64,1 per year,195.65,245.74,186.81,15,8,private garage,75 kW,Reg14,0
37,down,same,Male,normal,2,private or freelance work,1,454.49,4 per year,474.25,626.55,425.92,12,10,private garage,100 kW,Reg8,0
38,down,only partner,Female,medical,0,private or freelance work,1,421.69,4 per year,430.3,359.61,401.61,18,18,other,25-50 kW,Reg1,0
39,down,same,Male,normal,0,private or freelance work,1,543.27,4 per year,566.89,585.79,472.39,18,18,private garage,150 kW,Reg10,0
20,down,same,Male,normal,0,private or freelance work,1,1084.71,12 per year,1519.64,827.33,989.63,14,13,underground garage,75 kW,Reg7,0
43,stable,only partner,Female,medical,9,unknown,1,225.23,1 per year,225.24,158.91,219.27,10,1,private garage,100 kW,Reg4,0
77,down,only partner,Female,normal,7,unknown,1,447.28,12 per year,456.41,331.9,409.55,18,2,street,75 kW,Reg5,0
41,down,same,Female,normal,0,private or freelance work,1,293.67,1 per year,299.66,381.1,298.16,15,7,parking deck,25-50 kW,Reg12,1
27,up,only partner,Female,medical,0,private or freelance work,2,567.37,2 per year,370.02,849.08,567.36,14,12,street,25-50 kW,Reg5,1
41,stable,same,Female,medical,9,unknown,2,205.9,1 per year,205.9,193.02,205.9,9,0,street,25-50 kW,Reg6,0
62,down,only partner,Male,normal,3,private or freelance work,1,373.62,1 per year,381.25,356.95,343.12,13,3,unknown,75 kW,Reg8,0
36,down,same,Female,normal,0,private or freelance work,1,371.95,4 per year,388.12,336.75,323.47,17,15,private garage,25-50 kW,Reg10,0
26,down,same,Male,medical,0,private or freelance work,1,352.64,4 per year,359.84,387.45,335.84,14,12,parking deck,75 kW,Reg10,1
50,stable,same,Male,normal,0,private or freelance work,1,360.45,4 per year,360.46,391.15,360.42,18,16,street,75 kW,Reg4,0
32,down,only partner,Male,normal,2,private or freelance work,5,307.49,2 per year,313.76,264.39,286.83,15,12,private garage,75 kW,Reg3,1
32,down,only partner,Female,normal,0,private or freelance work,1,376.42,1 per year,384.1,472.99,386.38,13,10,other,100 kW,Reg11,0
76,stable,same,Male,medical,9,unknown,1,216.6,1 per year,214.68,257.12,216.6,15,4,private garage,25-50 kW,Reg4,1
60,stable,young drivers,Male,normal,2,private or freelance work,1,466.92,4 per year,466.94,355.21,503.35,17,11,private garage,25-50 kW,Reg13,0
34,stable,all drivers > 24,Male,normal,3,private or freelance work,2,342.81,1 per year,342.83,467.27,336.34,18,16,street,150 kW,Reg7,1
33,stable,only partner,Male,normal,2,private or freelance work,1,233.29,1 per year,233.3,322.84,214.68,16,8,private garage,150 kW,Reg4,0
46,down,young drivers,Female,medical,0,private or freelance work,1,208.45,1 per year,212.7,233.88,186.22,10,2,private garage,75 kW,Reg13,0
30,down,same,Male,normal,0,private or freelance work,1,314.53,4 per year,320.95,379.89,275.5,14,8,street,100 kW,Reg4,0
33,down,same,Female,medical,1,private or freelance work,1,438.18,2 per year,447.13,388.11,409.86,15,10,street,25-50 kW,Reg2,0
51,stable,same,Female,medical,6,unknown,1,217.13,4 per year,217.14,170.52,205.62,9,3,private garage,100 kW,Reg5,0
43,up,same,Male,normal,9,private or freelance work,1,376.33,1 per year,282.25,396.5,369.36,12,3,underground garage,125-300 kW,Reg1,0
38,stable,all drivers > 24,Male,medical,5,unknown,1,291.85,1 per year,291.85,278.72,291.85,12,4,unknown,25-50 kW,Reg5,0
37,down,only partner,Female,normal,5,private or freelance work,1,147.09,1 per year,150.09,166.77,143.35,18,5,street,25-50 kW,Reg5,0
40,stable,all drivers > 24,Female,medical,5,unknown,2,256.89,2 per year,256.9,293.18,250.15,13,3,unknown,100 kW,Reg8,0
39,stable,only partner,Female,medical,1,private or freelance work,1,170.6,2 per year,170.61,170.79,170.61,14,7,underground garage,75 kW,Reg7,0
52,stable,all drivers > 24,Male,medical,5,unknown,1,208.3,1 per year,208.31,240.85,200.89,17,8,unknown,125-300 kW,Reg6,0
36,down,same,Female,medical,0,private or freelance work,1,691.64,12 per year,803.42,739.33,628.75,15,14,parking deck,25-50 kW,Reg4,0
34,down,only partner,Male,normal,5,private or freelance work,1,394.44,12 per year,402.49,534.03,401.18,14,5,private garage,125-300 kW,Reg8,0
37,down,only partner,Male,normal,0,private or freelance work,2,471.63,12 per year,492.14,533.89,391.34,12,11,carport,75 kW,Reg12,1
36,stable,only partner,Male,medical,1,private or freelance work,1,246.66,1 per year,246.67,287.88,233.21,16,12,parking deck,75 kW,Reg6,0
50,stable,same,Male,medical,2,private or freelance work,1,247.48,1 per year,247.49,192.44,242.94,18,7,private garage,125-300 kW,Reg8,0
40,stable,same,Male,medical,6,unknown,3,258.11,1 per year,258.12,205.26,258.12,9,2,street,25-50 kW,Reg7,0
37,stable,only partner,Female,medical,1,private or freelance work,1,263.51,4 per year,263.53,346.09,263.53,11,4,other,75 kW,Reg2,0
46,down,young drivers,Male,normal,10,private or freelance work,1,174.02,12 per year,177.57,264.68,152.21,17,6,private garage,75 kW,Reg10,0
48,stable,same,Male,normal,3,private or freelance work,1,241.83,4 per year,241.83,239.86,241.83,12,0,unknown,75 kW,Reg10,1
61,stable,only partner,Male,medical,1,private or freelance work,2,148.44,1 per year,148.45,168.98,148.45,18,9,carport,100 kW,Reg7,0
32,down,same,Female,normal,1,private or freelance work,1,844.27,1 per year,880.98,750.06,734.15,11,9,other,75 kW,Reg12,1
29,down,same,Female,medical,0,private or freelance work,1,341.62,2 per year,348.59,372.98,298.79,10,7,street,25-50 kW,Reg14,0
51,down,young drivers,Female,medical,10,private or freelance work,1,284.46,2 per year,290.26,218.65,248.8,9,8,street,75 kW,Reg5,0
46,down,same,Male,normal,0,private or freelance work,1,528.28,4 per year,539.06,478.01,503.1,9,4,other,100 kW,Reg7,0
27,down,only partner,Female,normal,0,private or freelance work,1,983.94,4 per year,1142.96,861.81,894.48,11,11,parking deck,100 kW,Reg5,0
82,stable,only partner,Male,normal,10,unknown,4,299.33,1 per year,299.34,300.0,307.7,15,2,private garage,100 kW,Reg7,0
56,down,same,Female,medical,1,private or freelance work,1,421.66,4 per year,430.26,385.88,425.14,14,10,street,75 kW,Reg4,0
31,down,same,Male,medical,0,private or freelance work,1,333.81,4 per year,340.62,366.42,309.66,18,18,street,100 kW,Reg5,0
36,down,all drivers > 24,Male,normal,0,private or freelance work,1,333.11,4 per year,339.91,333.79,302.15,16,16,street,100 kW,Reg5,0
51,down,all drivers > 24,Female,normal,2,private or freelance work,1,188.91,1 per year,192.76,161.4,165.22,17,5,street,25-50 kW,Reg10,0
44,stable,all drivers > 24,Male,normal,0,private or freelance work,1,233.34,1 per year,233.35,327.19,233.35,17,12,other,125-300 kW,Reg5,0
56,stable,same,Male,normal,10,private or freelance work,1,167.84,1 per year,167.85,188.94,169.39,17,5,parking deck,75 kW,Reg7,0
45,down,all drivers > 24,Male,medical,2,private or freelance work,1,943.84,4 per year,963.1,587.69,873.5,18,18,underground garage,75 kW,Reg7,0
51,stable,same,Female,medical,7,private or freelance work,1,247.29,1 per year,247.3,257.91,247.29,10,9,street,25-50 kW,Reg1,0
43,stable,only partner,Male,normal,7,private or freelance work,4,214.78,2 per year,214.78,197.1,214.78,14,12,private garage,25-50 kW,Reg14,0
37,stable,only partner,Male,normal,5,unknown,2,212.84,1 per year,212.85,237.54,202.0,12,3,unknown,100 kW,Reg5,0
34,down,same,Male,normal,0,private or freelance work,1,282.11,1 per year,287.86,356.5,251.91,9,4,private garage,75 kW,Reg4,1
52,stable,only partner,Female,normal,7,unknown,1,196.53,1 per year,196.54,167.19,203.55,13,2,private garage,100 kW,Reg3,0
39,down,same,Female,normal,0,private or freelance work,1,218.28,1 per year,222.74,274.86,200.46,13,6,street,75 kW,Reg4,0
58,down,all drivers > 24,Male,normal,0,private or freelance work,1,549.88,4 per year,708.74,589.8,452.39,11,0,private garage,100 kW,Reg12,0
43,down,all drivers > 24,Male,normal,0,private or freelance work,1,750.17,4 per year,781.43,817.71,666.29,9,9,parking deck,75 kW,Reg7,0
49,stable,only partner,Female,medical,6,unknown,1,384.3,4 per year,384.31,292.29,363.56,11,5,private garage,225 kW,Reg7,0
49,stable,all drivers > 24,Female,medical,0,private or freelance work,1,230.45,4 per year,230.46,336.7,219.95,15,10,street,100 kW,Reg12,0
36,down,only partner,Male,normal,8,unknown,1,445.8,1 per year,454.9,279.18,398.21,11,2,street,100 kW,Reg1,0
26,stable,young drivers,Female,normal,0,private or freelance work,1,317.64,4 per year,317.65,308.88,317.64,0,0,parking deck,75 kW,Reg4,1
41,up,only partner,Male,normal,0,private or freelance work,1,382.78,4 per year,273.41,534.89,382.78,16,10,parking deck,75 kW,Reg6,0
